data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2023-09-27 23:03:02+00:00,2023-09-27,1014.74,PLN,BITCOIN CASH,bch
2024-10-22 10:00:03+00:00,2024-10-22,1439.81,PLN,BITCOIN CASH,bch
2024-05-02 10:00:03+00:00,2024-05-02,1670.89,PLN,BITCOIN CASH,bch
2024-12-14 10:00:04+00:00,2024-12-14,2209.17,PLN,BITCOIN CASH,bch
2024-12-29 10:01:47+00:00,2024-12-29,1848.11,PLN,BITCOIN CASH,bch
2024-04-08 10:00:21+00:00,2024-04-08,2734.66,PLN,BITCOIN CASH,bch
2023-11-29 10:04:16+00:00,2023-11-29,885.92,PLN,BITCOIN CASH,bch
2024-05-15 10:02:08+00:00,2024-05-15,1699.84,PLN,BITCOIN CASH,bch
2024-03-17 10:00:04+00:00,2024-03-17,1533.77,PLN,BITCOIN CASH,bch
2024-07-29 10:00:21+00:00,2024-07-29,1776.46,PLN,BITCOIN CASH,bch
2024-04-07 10:01:21+00:00,2024-04-07,2674.06,PLN,BITCOIN CASH,bch
2024-08-20 10:02:13+00:00,2024-08-20,1326.34,PLN,BITCOIN CASH,bch
2024-04-29 10:00:03+00:00,2024-04-29,1838.34,PLN,BITCOIN CASH,bch
2024-05-24 10:04:59+00:00,2024-05-24,1927.28,PLN,BITCOIN CASH,bch
2024-12-23 10:02:21+00:00,2024-12-23,1815.12,PLN,BITCOIN CASH,bch
2024-09-05 10:01:39+00:00,2024-09-05,1196.91,PLN,BITCOIN CASH,bch
2024-05-17 10:01:29+00:00,2024-05-17,1848.61,PLN,BITCOIN CASH,bch
2024-06-05 10:00:04+00:00,2024-06-05,1914.25,PLN,BITCOIN CASH,bch
2024-06-30 10:01:37+00:00,2024-06-30,1562.12,PLN,BITCOIN CASH,bch
2024-02-10 10:05:23+00:00,2024-02-10,989.23,PLN,BITCOIN CASH,bch
2024-04-26 10:01:26+00:00,2024-04-26,1916.35,PLN,BITCOIN CASH,bch
2024-06-09 10:01:25+00:00,2024-06-09,1871.11,PLN,BITCOIN CASH,bch
2024-07-27 10:01:27+00:00,2024-07-27,1504.33,PLN,BITCOIN CASH,bch
2024-03-21 10:00:03+00:00,2024-03-21,1701.89,PLN,BITCOIN CASH,bch
2024-04-10 10:00:02+00:00,2024-04-10,2471.05,PLN,BITCOIN CASH,bch
2024-07-31 10:02:12+00:00,2024-07-31,1700.86,PLN,BITCOIN CASH,bch
2024-06-28 10:00:03+00:00,2024-06-28,1590.61,PLN,BITCOIN CASH,bch
2024-05-09 10:02:08+00:00,2024-05-09,1793.96,PLN,BITCOIN CASH,bch
2024-09-07 10:01:41+00:00,2024-09-07,1154.64,PLN,BITCOIN CASH,bch
2023-11-30 10:04:03+00:00,2023-11-30,882.81,PLN,BITCOIN CASH,bch
2024-09-08 10:00:08+00:00,2024-09-08,1177.16,PLN,BITCOIN CASH,bch
2023-10-25 10:00:15+00:00,2023-10-25,1054.69,PLN,BITCOIN CASH,bch
2023-10-20 10:03:06+00:00,2023-10-20,1004.35,PLN,BITCOIN CASH,bch
2024-09-15 10:03:09+00:00,2024-09-15,1266.39,PLN,BITCOIN CASH,bch
2023-11-07 10:00:43+00:00,2023-11-07,1045.48,PLN,BITCOIN CASH,bch
2024-05-27 10:00:04+00:00,2024-05-27,1892.2,PLN,BITCOIN CASH,bch
